endpoint,metric,label,subset,higher_is_better,effect_orientation,n,single_mean,reranked_mean,raw_difference_reranked_minus_single,favorable_improvement,ci95_low,ci95_high,win_rate,tie_rate,loss_rate
pcset_coverage:all,pcset_coverage,PC coverage,all,True,positive favors constraint reranking,2000,0.9947,0.9950666666666667,0.0003666666666666664,0.0003666666666666664,-0.0015416666666666667,0.002091874999999997,0.0115,0.9815,0.007
pcset_coverage:non-serial,pcset_coverage,PC coverage,non-serial,True,positive favors constraint reranking,1086,0.9948588090853283,0.9995089011663597,0.004650092081031307,0.004650092081031307,0.0027624309392265192,0.006752608962553713,0.020257826887661142,0.9797421731123389,0.0
pcset_coverage:serial,pcset_coverage,PC coverage,serial,True,positive favors constraint reranking,914,0.9945113056163385,0.9897884755652809,-0.004722830051057622,-0.004722830051057622,-0.008096280087527353,-0.0018781911013858498,0.0010940919037199124,0.9835886214442013,0.015317286652078774
interval_vector_distance:all,interval_vector_distance,IV distance,all,False,positive favors constraint reranking,2000,26.199,25.8135,-0.3855,0.3855,0.2655,0.5245,0.034,0.9655,0.0005
interval_vector_distance:non-serial,interval_vector_distance,IV distance,non-serial,False,positive favors constraint reranking,1086,0.20257826887661143,0.011970534069981584,-0.19060773480662985,0.19060773480662985,0.13627992633517497,0.24861878453038674,0.040515653775322284,0.9594843462246777,0.0
interval_vector_distance:serial,interval_vector_distance,IV distance,serial,False,positive favors constraint reranking,914,57.08752735229759,56.47045951859956,-0.6170678336980306,0.6170678336980306,0.3599562363238512,0.9048140043763676,0.0262582056892779,0.9726477024070022,0.0010940919037199124
row_order_accuracy:serial,row_order_accuracy,Row accuracy,serial,True,positive favors constraint reranking,914,0.15418187355665125,0.2383002942072484,0.08411842065059713,0.08411842065059713,0.07718145311819989,0.09101179849871784,0.6542669584245077,0.2614879649890591,0.08424507658643327
aggregate_completion_rate:all,aggregate_completion_rate,Aggregate,all,True,positive favors constraint reranking,2000,0.66275,0.6600833333333334,-0.0026666666666666666,-0.0026666666666666666,-0.004208333333333333,-0.0012916666666666664,0.011,0.9655,0.0235
aggregate_completion_rate:serial,aggregate_completion_rate,Aggregate,serial,True,positive favors constraint reranking,914,0.9960795040116704,0.9898796498905909,-0.006199854121079504,-0.006199854121079504,-0.009208606856309262,-0.003646973012399708,0.0,0.9726477024070022,0.02735229759299781
aggregate_completion_rate:non-serial,aggregate_completion_rate,Aggregate (diagnostic),non-serial,,raw reranked minus single; no favorable direction specified,1086,0.3822130141190915,0.38251995089011664,0.000306936771025169,,-0.0007673419275629221,0.001457949662369552,,,
rhythmic_profile_distance:all,rhythmic_profile_distance,Rhythm distance,all,False,positive favors constraint reranking,2000,0.8666311348751188,0.8163816513717175,-0.05024948350340128,0.05024948350340128,0.04456716275215149,0.0561309583093971,0.503,0.293,0.204
density_curve_error:all,density_curve_error,Density error,all,False,positive favors constraint reranking,2000,5.88029780215025,5.6556432122141125,-0.2246545899361372,0.2246545899361372,0.20070466177277269,0.24939232691228388,0.503,0.293,0.204
gesture_consistency_score:all,gesture_consistency_score,Gesture score,all,True,positive favors constraint reranking,2000,0.5216282619997014,0.5535252204001518,0.03189695840045037,0.03189695840045037,0.027864996704853845,0.03599406410644608,0.508,0.2605,0.2315
range_violation_rate:all,range_violation_rate,Range violation,all,False,positive favors constraint reranking,2000,0.0005430230223326376,7.464254577157803e-05,-0.0004683804765610595,0.0004683804765610595,0.0002360922782763242,0.0007372586932469816,0.013,0.9855,0.0015
