endpoint,metric,label,subset,higher_is_better,effect_orientation,n,single_mean,reranked_mean,raw_difference_reranked_minus_single,favorable_improvement,ci95_low,ci95_high,win_rate,tie_rate,loss_rate
pcset_coverage:all,pcset_coverage,PC coverage,all,True,positive favors constraint reranking,2000,0.9965583333333333,0.9952166666666667,-0.001341666666666667,-0.001341666666666667,-0.003400208333333332,0.0005249999999999996,0.0075,0.985,0.0075
pcset_coverage:non-serial,pcset_coverage,PC coverage,non-serial,True,positive favors constraint reranking,1086,0.9967771639042358,0.9996623695518722,0.0028852056476365868,0.0028852056476365868,0.0013658686310620014,0.004619782074892566,0.011970534069981584,0.9880294659300184,0.0
pcset_coverage:serial,pcset_coverage,PC coverage,serial,True,positive favors constraint reranking,914,0.9962983223924142,0.9899343544857767,-0.0063639679066374915,-0.0063639679066374915,-0.010357859226841718,-0.0028628738147337715,0.002188183807439825,0.9814004376367614,0.016411378555798686
interval_vector_distance:all,interval_vector_distance,IV distance,all,False,positive favors constraint reranking,2000,26.16,25.769,-0.391,0.391,0.259,0.5415,0.0305,0.9685,0.001
interval_vector_distance:non-serial,interval_vector_distance,IV distance,non-serial,False,positive favors constraint reranking,1086,0.17587476979742173,0.011970534069981584,-0.16390423572744015,0.16390423572744015,0.11049723756906077,0.22191528545119704,0.034990791896869246,0.9640883977900553,0.0009208103130755065
interval_vector_distance:serial,interval_vector_distance,IV distance,serial,False,positive favors constraint reranking,914,57.03391684901532,56.37308533916849,-0.6608315098468271,0.6608315098468271,0.3785557986870897,0.9792122538293216,0.02516411378555799,0.973741794310722,0.0010940919037199124
row_order_accuracy:serial,row_order_accuracy,Row accuracy,serial,True,positive favors constraint reranking,914,0.1499815324439024,0.22997732755062492,0.07999579510672256,0.07999579510672256,0.07343942599916994,0.08645368472407494,0.6487964989059081,0.2592997811816193,0.09190371991247265
aggregate_completion_rate:all,aggregate_completion_rate,Aggregate,all,True,positive favors constraint reranking,2000,0.662875,0.6599166666666667,-0.0029583333333333336,-0.0029583333333333336,-0.004458333333333334,-0.0016249999999999997,0.0075,0.9685,0.024
aggregate_completion_rate:serial,aggregate_completion_rate,Aggregate,serial,True,positive favors constraint reranking,914,0.9950765864332604,0.9893326039387309,-0.0057439824945295405,-0.0057439824945295405,-0.0087527352297593,-0.0030999270605397517,0.0010940919037199124,0.973741794310722,0.02516411378555799
aggregate_completion_rate:non-serial,aggregate_completion_rate,Aggregate (diagnostic),non-serial,,raw reranked minus single; no favorable direction specified,1086,0.38328729281767954,0.3826734192756292,-0.0006138735420503375,,-0.0016114180478821365,0.0004604051565377534,,,
rhythmic_profile_distance:all,rhythmic_profile_distance,Rhythm distance,all,False,positive favors constraint reranking,2000,0.8758546453937888,0.830546245764941,-0.045308399628847834,0.045308399628847834,0.040256490477267655,0.05046064286576584,0.5075,0.297,0.1955
density_curve_error:all,density_curve_error,Density error,all,False,positive favors constraint reranking,2000,5.89181144914031,5.678653354853392,-0.21315809428691865,0.21315809428691865,0.18880537889152768,0.23781689852327106,0.5075,0.297,0.1955
gesture_consistency_score:all,gesture_consistency_score,Gesture score,all,True,positive favors constraint reranking,2000,0.5217312439661425,0.5525839812231884,0.030852737257045983,0.030852737257045983,0.026700600591945907,0.03495614814351863,0.5085,0.265,0.2265
range_violation_rate:all,range_violation_rate,Range violation,all,False,positive favors constraint reranking,2000,0.00029703831137738857,7.093253968253968e-05,-0.00022610577169484888,0.00022610577169484888,9.340939672881665e-05,0.0003730274164980079,0.007,0.992,0.001
